Model,GPT-3.5-Turbo,Llama-3-8B,GPT-4o-mini,Qwen-Turbo,grok-beta,grok2-1212,o1-mini,Claude-3-Sonnet,Gemini Flash 1.5,o1,GPT-4o,Claude-3-Opus,Perplexity: Llama 3.1 Sonar 8B Online,Qwen-Plus,Gemini Pro 1.5,Qwen-Max,Claude-3.7-Sonnet,o3-mini-high,DeepSeek-Distill-Qwen-32b,Perplexity: Llama 3.1 Sonar 405B Online,Claude-3.7-Sonnet-thinking,Perplexity: Llama 3.1 Sonar 70B,DeepSeek-R1-Full,Median Grade,Percentage
GPT-4o,A (93),A- (90),A (93),A (93),A (93),A (93),A+ (100),A (93),B- (80),A (93),---,A (93),B+ (87),A (93),A- (90),A- (90),A- (90),A (93),A (93),A+ (100),A- (90),A+ (100),A+ (100),A,93
Claude-3-Opus,A (93),A- (90),A- (90),A (93),A- (90),A- (90),A (93),A- (90),A- (90),A (93),A- (90),---,B+ (87),A (93),A- (90),A (93),A- (90),A (93),A- (90),A+ (100),B+ (87),A (93),A (93),A-,90
Perplexity: Llama 3.1 Sonar 8B Online,A (93),A- (90),A- (90),A- (90),A- (90),A- (90),B+ (87),A (93),B- (80),A- (90),A- (90),A (93),---,A- (90),B- (80),B (83),B+ (87),B (83),B+ (87),A+ (100),B+ (87),A- (90),B- (80),A-,90
Qwen-Plus,A (93),A (93),A (93),A (93),A- (90),A (93),A (93),A+ (100),A- (90),A+ (100),A (93),A (93),A (93),---,B+ (87),A- (90),A- (90),A (93),A+ (100),A+ (100),A (93),A+ (100),A+ (100),A,93
Gemini Pro 1.5,A (93),A (93),A (93),A (93),A (93),A (93),A (93),A+ (100),B+ (87),A (93),A+ (100),A (93),A+ (100),A (93),---,A- (90),A- (90),A (93),A+ (100),A+ (100),A (93),A (93),A+ (100),A,93
Qwen-Max,A (93),A+ (100),A (93),A (93),A- (90),A+ (100),A (93),A (93),A- (90),A+ (100),A (93),A+ (100),A- (90),A+ (100),A- (90),---,A- (90),A+ (100),A+ (100),A+ (100),A (93),A+ (100),A (93),A,93
Claude-3.7-Sonnet,A (93),A (93),A (93),A- (90),A- (90),A+ (100),A+ (100),A+ (100),A- (90),A (93),A (93),A+ (100),B+ (87),A+ (100),B+ (87),A- (90),---,A (93),A+ (100),A+ (100),A (93),A+ (100),A (93),A,93
o3-mini-high,A (93),N/A (0),A (93),A (93),A- (90),A (93),A (93),A (93),A- (90),A (93),A+ (100),A (93),A+ (100),A+ (100),A (93),A (93),A (93),---,A (93),A+ (100),A (93),A+ (100),A (93),A,93
DeepSeek-Distill-Qwen-32b,A (93),A+ (100),A- (90),A- (90),A- (90),A (93),A (93),A (93),B- (80),A- (90),A- (90),A (93),A (93),A (93),B+ (87),B+ (87),B+ (87),A- (90),---,A- (90),A (93),A- (90),B (83),A-,90
Perplexity: Llama 3.1 Sonar 405B Online,A (93),A- (90),A- (90),A- (90),A- (90),A- (90),A+ (100),A (93),B+ (87),A (93),A (93),A (93),A- (90),A- (90),A- (90),B+ (87),A- (90),A (93),A- (90),---,A- (90),A (93),A- (90),A-,90
Claude-3.7-Sonnet-thinking,A (93),A- (90),A- (90),A (93),B+ (87),A+ (100),A+ (100),A (93),A- (90),A+ (100),A (93),A+ (100),B+ (87),A+ (100),A- (90),A (93),A (93),A (93),B+ (87),A+ (100),---,A+ (100),A+ (100),A,93
Perplexity: Llama 3.1 Sonar 70B,A (93),A+ (100),A (93),A- (90),A+ (100),A- (90),A- (90),A (93),B+ (87),A (93),A (93),A (93),A- (90),A- (90),B+ (87),A- (90),A- (90),A (93),A+ (100),A (93),A- (90),---,A- (90),A-,91
DeepSeek-R1-Full,A- (90),A- (90),A (93),A (93),A+ (100),A+ (100),A (93),A (93),A- (90),A+ (100),A (93),A+ (100),A- (90),A+ (100),A- (90),A (93),A+ (100),A+ (100),A (93),A+ (100),A+ (100),A+ (100),---,A,93
