Model                                   | Llama-3-8 | GPT-4o-mi | Qwen-Turb | grok-beta | GPT-3.5-T | grok2-121 | Claude-3. | Claude-3- | GPT-4o    | Claude-3- | Qwen-Plus | Gemini Fl | DeepSeek- | o1        | Perplexit | o1-mini   | o3-mini-h | Gemini Pr | Qwen-Max  | Perplexit | Claude-3. | DeepSeek- | Median  | Pct   |
---------------------------------------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+---------+-------+
Llama-3-8B                              | ---       | B (83)    | B (83)    | B- (80)   | A (93)    | B (83)    | C+ (77)   | B (83)    | B- (80)   | B (83)    | B+ (87)   | B- (80)   | B (83)    | B (83)    | A- (90)   | B (83)    | B- (80)   | C- (70)   | B (83)    | A- (90)   | C+ (77)   | C+ (77)   |    B    |  83   |
DeepSeek-Distill-Qwen-32b               | B+ (87)   | B (83)    | B+ (87)   | A (93)    | A (93)    | B+ (87)   | B (83)    | A- (90)   | B+ (87)   | A- (90)   | B+ (87)   | B- (80)   | ---       | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | B- (80)   | B (83)    | B+ (87)   | B- (80)   | B+ (87)   |   B+    |  87   |
o1                                      | N/A (0)   | B+ (87)   | A- (90)   | B+ (87)   | A (93)    | A- (90)   | B+ (87)   | A (93)    | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | ---       | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   |   B+    |  87   |
Perplexity: Llama 3.1 Sonar 8B Online   | B+ (87)   | B+ (87)   | B (83)    | B- (80)   | A- (90)   | B+ (87)   | B (83)    | A- (90)   | B+ (87)   | B (83)    | A- (90)   | B- (80)   | B+ (87)   | A- (90)   | ---       | B+ (87)   | A- (90)   | B- (80)   | B+ (87)   | A- (90)   | B (83)    | B+ (87)   |   B+    |  87   |
o1-mini                                 | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | A (93)    | B+ (87)   | B+ (87)   | A (93)    | A- (90)   | B+ (87)   | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | ---       | A- (90)   | B- (80)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   |   B+    |  87   |
o3-mini-high                            | A+ (100)  | B+ (87)   | A- (90)   | B+ (87)   | A (93)    | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | ---       | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   |   B+    |  87   |
Gemini Pro 1.5                          | B+ (87)   | B+ (87)   | B+ (87)   | B (83)    | A (93)    | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | A- (90)   | B- (80)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | ---       | B+ (87)   | A- (90)   | B- (80)   | B+ (87)   |   B+    |  87   |
Qwen-Max                                | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | A (93)    | B (83)    | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | A- (90)   | B- (80)   | ---       | A- (90)   | B (83)    | B+ (87)   |   A-    |  90   |
Perplexity: Llama 3.1 Sonar 70B         | B+ (87)   | B (83)    | A- (90)   | B (83)    | A (93)    | B+ (87)   | B- (80)   | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | B- (80)   | B (83)    | A- (90)   | B+ (87)   | B+ (87)   | B (83)    | C+ (77)   | B (83)    | ---       | B (83)    | B- (80)   |   B+    |  87   |
Claude-3.7-Sonnet-thinking              | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | A (93)    | A- (90)   | B+ (87)   | A- (90)   | B+ (87)   | B (83)    | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | A (93)    | ---       | N/A (0)   |   B+    |  87   |
DeepSeek-R1-Full                        | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | A- (90)   | B- (80)   | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | ---       |   A-    |  90   |
